Constituent ID,Artist Display Name,Artist ULAN ID,Artist Wikidata ID
100247,Monika E. de Vries Gohlke,,
100248,Ruch,,
100254,Ludowa Spotdzielnia Wydawnicza,,
100255,Henryka Niemiec,,
100258,Hanna Ozogowska,,
100260,"Wydawnictwo ""Slask""",,
100261,Andrzej Czeczot,,
100262,Vasily Shebuyev,500120580,Q4521884
100263,Stepan Galaktionov,,
100264,Nikolai Utkin,,
100265,Aleksandr Orlovsky,500000044,Q937911
100266,Francesco Camporesi,500288315,Q979950
100268,Nikita Ivanovich Panin,,
100270,Antoine Radigues,,
100273,Fedor Pashennyi,,
100274,V. Darleng,,
100275,Karl Piratskiy,,
100276,Lukoin,,
100277,K. Petrovsky,,
100278,Irene Elizabeth Jerome,,
100279,Armand von Schweiger-Lerchenfeld,,
100280,Detgiz,,
100282,François Du Quesnoy,500115495,Q960381
100284,Mejdunarodnaya Kniga,,
100285,Raduga,,
100287,Askol'd Nikolaevich Kantorov,,
100288,Ditvidav,,
100289,V. Alekseev,,
100290,Master JG,,
100291,J. C. Easling,,
100292,N. Kostenko,,
100293,A. Kostrova,,
100294,Robert Dunkarton,500023089,Q7343692
100295,Thomas Hodgetts,,
100296,Vladimir Mikhailovich Konashevich,500018739,Q3655863
100298,William T. Annis,,
100301,François-Nicolas Chifflart,500012807,Q3084252
100304,Pieter Goos,,
100305,Valentin Petrovich Kataev,,
100306,V. Losin,,
100307,Irina Pevnaya,,
100308,Dmitri Isidorovich Mitrokhin,,
100309,Petr Ivanovich Neradovskiy,,
100310,Yu. Korinets,,
100311,R. Gustafson,,
100312,Ivan Ivanovich Khemnitser,,
100313,M. Miturich,,
100315,E. Aleksandrova,,
100316,Michel Kirmer,500004997,Q97571108
100318,K. Vysokovskiy,,
100319,Georgi Nikolaevich Traugot,,
10032,William Meyrick Esq.,,
100320,"Anonymous, 18th century",,
100322,V. Schapov,,
100325,Leningradskiy Khudozhnik,,
100326,Tzyan-Chzhao-Khe,,
100330,Mary Chambers,,
100331,Erik Vladimirovich Bulatov,,
100333,R. C. Bull,,
100335,G. Thomas,,
100336,Bartlett & Welford,,
100337,William R. Browne,,
100338,Charles E. H. Bonwill,,
100339,Ezra Bisbee,,
100340,A. Spooner & Co.,,
100341,Otto Botticher,500056794,Q22673609
100342,William C. Kramp,,
100343,William Smith Jewett,500005426,Q6167728
100344,"Robertson, Seibert & Shearman",,
100345,James A. Shearman,,
100346,Joseph Laing & Co.,,
100347,L. Zilov,,
100348,A. Petrov,,
100349,Rae Smith,,
100350,Alfred Bradley,,
100352,Antonín Heythum,500125067,Q10853869
100353,Frederick Schenck,,
100354,John Menzies,,
100355,Macpherson & Syme,,
100356,Lord Colborne,,
100361,United States Glass Co.,,
100362,O'Hara Glass Co.,,
100363,Columbia Glass Co.,,
100365,William Vaughan,,
100372,Joseph Rickerby,,
100373,Henry Hoff,,
100374,Charles Autenrieth,,
100375,Hoff & Bloede,,
100377,C. G.,,
100379,"J. Butterworth, T. Wood, J. Belcher",,
100380,W. Hodgetts,,
100381,L. Thompson,,
100382,W. Cooper,,
100383,"Crosby, Butterfield and Haven",,
100384,"George Schlegel, New York",,
100385,Nicolas Prévost,,
100386,Georg Wilhelm Fasel,,
100387,Fasel & Valois,,
100389,Yankee Card Press,,
100390,Swinney and Hawkins,,
100391,Francis Eginton,,
100392,Thomas Hancock,,
100395,William H. Wallace,,
100396,William Harry Warren Bicknell,500105394,Q22002308
100397,The Audit Company of New York,,
100399,James Archibald Campbell,,
100400,Frank M. Gregory,,
100401,James Craig Nicoll,500066047,Q1562028
100402,J. Ellis,,
100403,T. and T. Boosey,,
100404,Frederick Blümner,,
100405,T. Cooper,,
100406,J. Schutz,,
100407,Freer & Hirst,,
100408,Goodall & Suddick,,
100409,Henry Fletcher,,
100410,Jean La Rocque,,
100411,Richard Upjohn,500025876,Q2066635
100414,Thomas B. Worth,500005361,Q43140105
100415,Hugh Reinagle,500016639,Q5932473
100416,David Longworth,,
100417,James DeForest Stout,,
100418,Daniel Fanshawe,,
100419,Fersenheim and Witschief,,
100421,Edward Lumley,,
100422,Léon Jean-Baptiste Sabatier,500102559,Q18325079
100423,Louis-Jules-Fréderic Villeneuve,500043076,Q18508472
100424,Chance Brothers & Co.,,
100425,Albert Henry Rosewig,,
100426,F. A. North & Co.,,
100427,Gustav Satter,,
100428,Theodore Wenzlik,,
100429,Spear & Dehnhoff,,
100430,Franklin Edson,,
100431,Hermann S. Saroni,,
100432,Millet's Music Saloon,,
100433,S. Knaebel,,
100434,R. Butt,,
100435,L. H. Jousberry,,
100436,Jos. Gung'l,,
100437,Atwill's Music Saloon,,
